Date, Open, High, Low, Close, Volume
05/21/15, 80.19, 80.92, 80.08, 80.48, 13402749
05/20/15, 80.47, 81.10, 79.46, 80.55, 23056899
05/19/15, 81.25, 81.69, 80.55, 80.63, 17955389
05/18/15, 80.33, 81.38, 80.23, 80.88, 21613674
05/15/15, 81.41, 81.52, 80.18, 80.42, 27069884
05/14/15, 78.94, 81.845, 78.67, 81.37, 49437996
05/13/15, 77.72, 78.53, 77.65, 78.44, 21512309
05/12/15, 77.87, 77.89, 76.79, 77.46, 21285310
05/11/15, 78.48, 79.03, 77.93, 78.01, 18874054
05/08/15, 79.10, 79.23, 78.03, 78.51, 19943595
05/07/15, 78.00, 78.94, 77.56, 78.425, 19749428
05/06/15, 77.97, 78.81, 77.05, 78.10, 28663026
05/05/15, 78.55, 78.80, 77.22, 77.56, 22311318
05/04/15, 79.33, 79.69, 78.6301, 78.81, 14691991
05/01/15, 79.24, 79.76, 78.11, 78.99, 24136358
04/30/15, 80.01, 80.96, 78.32, 78.77, 28999005
04/29/15, 80.01, 81.39, 79.52, 80.465, 26430258
04/28/15, 81.83, 81.90, 80.23, 80.68, 23775344
04/27/15, 81.87, 82.93, 81.63, 81.91, 25446032
04/24/15, 82.77, 82.94, 81.48, 81.53, 29660356
04/23/15, 84.10, 85.59, 82.41, 82.41, 73728080
04/22/15, 84.32, 84.74, 83.65, 84.63, 45547963
04/21/15, 84.00, 84.49, 83.54, 83.62, 27171852
04/20/15, 81.54, 83.15, 81.24, 83.09, 28796761
04/17/15, 81.48, 82.11, 80.37, 80.775, 24214983
04/16/15, 82.47, 83.07, 82.15, 82.31, 13769687
04/15/15, 83.55, 83.66, 82.27, 82.705, 22390943
04/14/15, 83.17, 83.69, 82.44, 83.515, 19634173
04/13/15, 81.93, 83.94, 81.92, 83.01, 26883094
04/10/15, 82.21, 82.61, 81.91, 82.04, 12529738
04/09/15, 82.50, 82.80, 81.71, 82.17, 15927281
04/08/15, 82.63, 83.10, 81.84, 82.275, 18966732
04/07/15, 82.65, 83.42, 82.22, 82.32, 17467042
04/06/15, 80.80, 82.81, 80.80, 82.44, 19062934
04/02/15, 82.25, 82.56, 81.44, 81.555, 19664053
04/01/15, 82.50, 82.72, 80.87, 81.665, 22058167
03/31/15, 82.90, 83.50, 82.21, 82.215, 19734277
03/30/15, 83.81, 84.34, 82.41, 83.195, 24527686
03/27/15, 83.38, 83.95, 82.88, 83.30, 18372582
03/26/15, 82.72, 83.77, 82.14, 83.01, 32794800
03/25/15, 85.50, 85.52, 82.92, 82.92, 37436147
03/24/15, 84.71, 86.0699, 84.52, 85.31, 32576522
03/23/15, 83.92, 84.96, 83.30, 84.43, 27357333
03/20/15, 83.39, 84.60, 83.07, 83.80, 44466323
03/19/15, 81.12, 83.00, 81.00, 82.75, 42099523
03/18/15, 79.25, 81.24, 79.17, 80.91, 36912446
03/17/15, 78.36, 79.78, 78.34, 79.365, 22169969
03/16/15, 77.96, 78.12, 77.36, 78.07, 19305406
03/13/15, 78.60, 79.38, 77.68, 78.05, 18557296
03/12/15, 78.10, 79.05, 77.91, 78.93, 16093319
03/11/15, 77.80, 78.43, 77.26, 77.57, 20215704
03/10/15, 78.50, 79.26, 77.55, 77.55, 23067057
03/09/15, 79.68, 79.91, 78.63, 79.44, 18925097
03/06/15, 80.90, 81.33, 79.83, 80.005, 24488581
03/05/15, 81.23, 81.99, 81.05, 81.21, 27825733
03/04/15, 79.30, 81.15, 78.85, 80.895, 28126686
03/03/15, 79.61, 79.70, 78.52, 79.60, 18634973
03/02/15, 79.00, 79.855, 78.52, 79.75, 21662537
02/27/15, 80.68, 81.23, 78.62, 78.97, 30739197
02/26/15, 79.88, 81.37, 79.72, 80.41, 31111891
02/25/15, 78.50, 80.20, 78.50, 79.56, 25593800
02/24/15, 78.50, 79.48, 78.10, 78.45, 18897133
02/23/15, 79.96, 80.19, 78.38, 78.84, 24139056
02/20/15, 79.55, 80.34, 79.20, 79.895, 36931698
02/19/15, 76.986, 79.84, 76.95, 79.42, 45851177
02/18/15, 75.94, 76.90, 75.45, 76.71, 22426421
02/17/15, 75.30, 76.91, 75.08, 75.60, 25254400
02/13/15, 76.46, 76.48, 75.50, 75.74, 18621860
02/12/15, 76.86, 76.87, 75.89, 76.23, 17234976
02/11/15, 75.09, 76.75, 75.03, 76.51, 20877427
02/10/15, 74.85, 75.34, 74.50, 75.19, 15811344
02/09/15, 74.05, 74.83, 73.45, 74.44, 16194322
02/06/15, 75.68, 75.70, 74.25, 74.47, 21210994
02/05/15, 75.71, 75.98, 75.21, 75.615, 15062573
02/04/15, 75.09, 76.35, 75.01, 75.63, 20277368
02/03/15, 75.19, 75.58, 73.86, 75.40, 26957714
02/02/15, 76.11, 76.14, 73.75, 74.99, 41955258
01/30/15, 78.00, 78.16, 75.75, 75.91, 42649491
01/29/15, 76.85, 78.02, 74.21, 78.00, 61293468
