,Date, Open, High, Low, Close, Volume
1386,2012-10-05,95.0286,95.1429,93.04,93.2271,148501108
1387,2012-10-04,95.8929,96.3214,95.0786,95.2571,92688813
1388,2012-10-03,94.98,95.98,94.6614,95.9214,106069719
1389,2012-10-02,94.5443,95.1929,92.95,94.4729,156997638
1390,2012-10-01,95.88,96.6786,93.7857,94.1986,135895921
1391,2012-09-28,96.9643,97.3014,95.25,95.3007,133777077
1392,2012-09-27,94.8986,97.4529,94.3357,97.3314,148522031
1393,2012-09-26,95.5343,96.0986,94.4571,95.0257,144175906
1394,2012-09-25,98.3229,98.9686,96.1429,96.22,129690449
1395,2012-09-24,98.1229,99.3029,97.5714,98.6843,159936196
1396,2012-09-21,100.3443,100.7243,99.9088,100.0136,142897076
1397,2012-09-20,99.88,100.0086,99.0886,99.8143,84141932
1398,2012-09-19,100.0371,100.57,99.9386,100.3,81715004
1399,2012-09-18,99.9829,100.3329,99.4886,100.2729,93375667
1400,2012-09-17,99.9071,99.9714,99.23,99.9687,99507499
1401,2012-09-14,98.565,99.5686,98.27,98.7543,150118311
1402,2012-09-13,96.7671,97.9286,96.3957,97.5686,149589629
1403,2012-09-12,95.2643,95.7,93.7143,95.6843,178054492
1404,2012-09-11,95.0157,95.7286,93.7857,94.37,125984852
1405,2012-09-10,97.2071,97.6129,94.5857,94.6771,121998898
1406,2012-09-07,96.8643,97.4971,96.5386,97.2057,82416145
1407,2012-09-06,96.1671,96.8986,95.8286,96.61,97845664
1408,2012-09-05,96.51,96.6214,95.6571,95.7471,84090475
1409,2012-09-04,95.1086,96.4486,94.9286,96.4243,91972629
1410,2012-08-31,95.3214,95.5143,93.8929,95.0343,84579607
1411,2012-08-30,95.8057,95.9363,94.6933,94.8383,75672793
1412,2012-08-29,96.4643,96.81,96.0857,96.2094,50701084
1413,2012-08-28,96.4253,96.5857,95.8104,96.4,66844323
1414,2012-08-27,97.1414,97.2671,96.22,96.5257,106728601
1415,2012-08-24,94.2157,95.64,93.65,94.74600000000001,109334113
1416,2012-08-23,95.1586,95.7,94.45,94.6614,105029568
1417,2012-08-22,93.4886,95.5714,92.5871,95.5529,141330637
1418,2012-08-21,95.8314,96.4114,92.9043,93.7231,203176260
1419,2012-08-20,92.8586,95.0214,92.8429,95.0214,153345689
1420,2012-08-17,91.4286,92.5986,91.2586,92.5871,110689894
1421,2012-08-16,90.1729,90.9657,90.0714,90.9057,63694204
1422,2012-08-15,90.1857,90.5714,89.6786,90.1186,64377278
1423,2012-08-14,90.2671,91.23,90.03,90.2414,85041824
1424,2012-08-13,89.0557,90.0,89.0357,90.0,69707463
1425,2012-08-10,88.3871,88.8229,88.3857,88.8143,48765045
1426,2012-08-09,88.2643,88.8186,88.2571,88.6757,55452586
1427,2012-08-08,88.4843,89.1257,88.1571,88.5514,61176080
1428,2012-08-07,88.9671,89.2857,88.2914,88.70200000000001,72627492
1429,2012-08-06,88.1843,89.2669,87.8943,88.9357,75580008
1430,2012-08-03,87.6614,88.2829,87.3657,87.9571,86228604
1431,2012-08-02,86.12,87.2414,85.75,86.8271,83062203
1432,2012-08-01,87.9864,88.0571,86.1429,86.6871,96124742
1433,2012-07-31,86.1757,87.3857,86.1029,87.2514,115581676
1434,2012-07-30,84.4171,85.6343,83.9743,85.0043,94784970
1435,2012-07-27,82.1443,83.69,81.6557,83.5943,101013241
1436,2012-07-26,82.8229,82.9143,81.48,82.1257,101702580
1437,2012-07-25,82.0657,82.9714,81.4286,82.1386,219314368
1438,2012-07-24,86.7686,87.0971,85.5014,85.8457,141283044
1439,2012-07-23,84.9143,86.5571,83.9586,86.2614,121993795
1440,2012-07-20,87.5757,87.7771,86.2429,86.3286,99367450
1441,2012-07-19,87.3257,87.9071,86.5714,87.76,109214567
1442,2012-07-18,86.6557,86.9057,86.2229,86.6086,63174888
1443,2012-07-17,87.2557,87.3571,86.1643,86.7057,73453037
1444,2012-07-16,86.4457,87.3743,86.4314,86.7014,75326342
1445,2012-07-13,86.1357,86.7414,85.7143,86.4243,77904449
1446,2012-07-12,85.7486,86.21,84.6686,85.5571,106997163
1447,2012-07-11,86.5886,86.8086,85.3171,86.3471,117329366
1448,2012-07-10,88.2814,88.5529,86.4729,86.8871,127989407
1449,2012-07-09,86.4714,87.7,86.3014,87.6986,94850224
1450,2012-07-06,86.7271,86.92,85.94,86.5543,104757156
1451,2012-07-05,85.7943,87.7629,85.6643,87.1343,121095121
1452,2012-07-03,84.9829,85.7143,84.8571,85.63,60428165
1453,2012-07-02,83.5329,84.7814,83.3714,84.6457,100022776
1454,2012-06-29,82.5714,83.4286,82.0357,83.4286,105360031
1455,2012-06-28,81.6671,82.0,80.8014,81.2929,70760543
1456,2012-06-27,82.1429,82.3914,81.7029,82.0714,50764770
1457,2012-06-26,81.6186,82.07,81.0471,81.7179,69187503
1458,2012-06-25,82.4714,82.8286,81.4814,81.5379,76088656
1459,2012-06-22,82.72,83.17,82.2029,83.1571,71186311
1460,2012-06-21,83.6343,84.0314,82.4914,82.5243,81626258
1461,2012-06-20,84.03,84.1786,82.9714,83.6773,89789644
1462,2012-06-19,83.3429,84.2857,83.3,83.9157,90350932
1463,2012-06-18,81.5657,83.9843,81.4814,83.6829,110102790
1464,2012-06-15,81.5714,82.0886,81.3643,82.0186,83813380
1465,2012-06-14,81.6057,81.9286,81.0371,81.6471,86460283
1466,2012-06-13,82.0743,82.64,81.4829,81.7371,73443230
1467,2012-06-12,82.0657,82.3743,80.9571,82.3086,108894961
1468,2012-06-11,83.96,84.0714,81.5186,81.5957,147815696
1469,2012-06-08,81.6571,82.9406,81.2857,82.9029,86872870
1470,2012-06-07,82.47,82.4743,81.5,81.6743,94993164
1471,2012-06-06,81.11,81.9786,80.7857,81.6371,100362262
1472,2012-06-05,80.1814,80.9243,79.7614,80.4043,97053376
1473,2012-06-04,80.2143,81.0714,78.3571,80.6129,139247129
1474,2012-06-01,81.3086,81.8071,80.0743,80.1414,130245094
1475,2012-05-31,82.9629,83.0714,81.6371,82.5329,122977603
1476,2012-05-30,81.3143,82.8557,80.9371,82.7386,132355209
1477,2012-05-29,81.5571,82.0,80.7586,81.7529,95126346
1478,2012-05-25,80.6557,80.8357,79.7817,80.3271,82116552
1479,2012-05-24,82.2671,82.3571,80.1757,80.76,124049506
1480,2012-05-23,79.6429,81.8286,79.0329,81.5086,146224365
1481,2012-05-22,81.3643,81.9829,78.94,79.5671,173696754
1482,2012-05-21,76.3571,80.22,76.2929,80.1829,157772790
1483,2012-05-18,76.28,77.63,74.5971,75.7686,183072463
1484,2012-05-17,77.9014,78.2143,75.7314,75.7314,179304713
1485,2012-05-16,79.15,79.5557,77.2914,78.0107,140223874
1486,2012-05-15,80.2071,80.46,78.8214,79.0243,119076678
1487,2012-05-14,80.3671,81.0729,79.6571,79.7457,88156103
1488,2012-05-11,80.7143,82.0671,80.6214,80.9586,99886332
1489,2012-05-10,82.0829,82.2686,81.2059,81.5029,83317752
1490,2012-05-09,80.5286,81.9968,80.1214,81.3114,120175923
1491,2012-05-08,81.3686,81.6429,79.8186,81.1686,124312720
1492,2012-05-07,80.2143,81.8243,80.1757,81.3543,115073217
1493,2012-05-04,82.44,82.6229,80.7386,80.75,132497421
1494,2012-05-03,84.3571,84.4857,82.9,83.1171,97637057
1495,2012-05-02,82.8914,83.9143,82.6943,83.7114,106906016
1496,2012-05-01,83.5571,85.2514,83.0329,83.1614,152749513
1497,2012-04-30,85.4,85.4857,83.2857,83.4257,126535038
1498,2012-04-27,86.4386,86.5971,85.7857,86.1429,101692500
1499,2012-04-26,87.7529,87.8129,86.0186,86.8143,134016274
1500,2012-04-25,87.9479,88.2857,86.5714,87.1429,226427670
